GENE	IRF4H3K27ac_32_DMSO_compare_TSS_SIGNAL	IRF4H3K27ac_32_DMSO_compare_DISTAL_SIGNAL
ALOX12P2	876.5472	334.6949
ALOX15	0.0	1997.8073999999997
ALOX15B	0.0	5930.167
ALOX5	427.05199999999996	9789.9777
ALOX5AP	0.0	3650.9163000000003
ALOXE3	1279.1326999999999	11287.4762
ALPI	0.0	295.7416
ALPK1	833.346	3334.142
ALPK2	0.0	9023.275
ALPK3	0.0	5875.7839
ALPL	0.0	0.0
ALPP	0.0	674.7209
ALPPL2	0.0	674.7209
ALS2	1110.5639999999999	1005.5636
ALS2CL	0.0	790.216
ALS2CR11	0.0	512.2013
ALS2CR12	0.0	2602.2537
ALS2CR4	1076.3278	0.0
ALS2CR8	1514.0662000000002	80.71119999999999
ALX3	0.0	862.047
AMAC1	0.0	891.1228
AMAC1L2	0.0	2615.2157
AMAC1L3	0.0	3208.8993000000005
AMACR	1263.6000000000001	645.4152
AMBN	0.0	7427.991
AMBRA1	0.0	4214.3414999999995
AMD1	1490.4544	2124.0673
AMDHD1	925.5792	1469.0203000000001
AMDHD2	588.0156	2675.0705
AMELX	0.0	3856.2163
AMFR	243.09210000000002	183.0083
AMH	0.0	11926.605599999999
AMHR2	0.0	32269.0071
AMICA1	0.0	19.2081
AMIGO1	0.0	334.8059
AMIGO3	0.0	306.3524
AMMECR1	843.6	1859.9690999999998
AMMECR1L	659.259	4326.765600000001
AMN	0.0	764.5823
AMN1	1605.0129	6569.487799999999
AMOTL1	935.0238	135.9369
AMOTL2	0.0	1303.7304000000001
AMPD1	1178.1999999999998	2228.3313000000003
AMPD2	511.94079999999997	494.5801
AMPD3	744.8094	3139.8594
AMT	0.0	5255.9299
AMY1A	0.0	321.94259999999997
AMY1B	0.0	321.94259999999997
AMY1C	0.0	321.94259999999997
AMY2A	0.0	321.94259999999997
AMY2B	0.0	321.94259999999997
AMZ1	0.0	4350.2749
AMZ2	1141.4741000000001	6259.385399999999
AMZ2P1	1397.2	7773.0119
ANAPC1	1287.2454	6042.961499999999
ANAPC10	1609.2286	2450.2788
ANAPC11	637.4558000000001	1509.2934
ANAPC13	1502.0604	1841.7192
ANAPC16	1068.0001	10907.122800000001
ANAPC2	1230.3443	1942.2534
ANAPC4	822.8545	1472.8627000000001
ANAPC5	843.4634	2216.5213000000003
ANAPC7	607.9354999999999	100.024
ANG	804.4544000000001	2713.5498000000002
ANGEL1	512.952	217.3552
ANGEL2	1462.2204000000002	7082.1321
ANGPT1	0.0	266.94079999999997
ANGPT4	0.0	846.4056
ANGPTL2	0.0	4136.0712
ANGPTL3	0.0	0.0
ANGPTL4	0.0	6478.593500000001
ANGPTL5	1371.916	0.0
ANGPTL6	0.0	3955.4281
ANGPTL7	0.0	730.3433
ANK1	0.0	2950.1875999999997
ANK2	235.572	1300.1728
ANK3	0.0	5077.6262
ANKAR	84.132	2684.4524
ANKDD1A	696.0108	8973.23
ANKFY1	746.2917	19.5692
ANKH	441.1866	1840.7116
ANKHD1	2040.8	1844.9181999999998
ANKIB1	1290.1858	546.0566
ANKK1	0.0	1454.4636
ANKLE1	0.0	3465.4386000000004
ANKLE2	402.4	66.5376
ANKMY1	0.0	3019.9633
ANKMY2	1316.8892	360.2592
ANKRA2	1083.2024	882.0542
ANKRD1	0.0	1491.0633
ANKRD10	1250.6	1953.8803
ANKRD11	369.59999999999997	3188.8339000000005
ANKRD12	3505.2	43657.8226
ANKRD13A	697.3	3722.1672999999996
ANKRD13B	0.0	3147.6524
ANKRD13C	1900.1043	395.8471
ANKRD13D	1093.317	8516.432700000001
ANKRD16	1101.5206	5099.6666
ANKRD17	1607.0	1706.8372000000002
ANKRD18A	1399.8474	331.0194
ANKRD19	829.7036	10314.694800000001
ANKRD2	0.0	619.0135
ANKRD22	0.0	150.4682
ANKRD23	0.0	3520.2111
ANKRD24	1201.9514000000001	2381.4537
ANKRD26	979.6868	621.6264
ANKRD26P1	0.0	1956.0893999999998
ANKRD27	677.2345	30.689
ANKRD28	2343.6	4647.1457
ANKRD29	0.0	377.1745
ANKRD30BL	0.0	8230.6183
ANKRD31	1114.7148	50.1676
ANKRD32	990.6463	2251.5785
ANKRD33B	859.4000000000001	7288.306200000001
ANKRD34A	916.196	24351.948399999997
ANKRD34B	0.0	15.6999
ANKRD34C	0.0	1053.229
ANKRD35	0.0	14671.996700000002
ANKRD36	1360.2	131.96869999999998
ANKRD36B	1166.8	367.9217
ANKRD36BP1	0.0	6967.9478
ANKRD36BP2	1083.1499999999999	4297.6323
ANKRD37	2025.6	16850.0035
ANKRD39	1422.6000000000001	3520.2111
ANKRD40	1449.0	2951.5917
ANKRD42	1442.4045999999998	9818.1744
ANKRD43	0.0	536.045
ANKRD44	511.1576	10985.3338
ANKRD45	0.0	1162.4226
ANKRD46	456.57599999999996	4514.0743999999995
ANKRD49	953.8176	628.2446999999999
ANKRD5	626.4559	472.2432
ANKRD50	961.35	833.5879
ANKRD52	882.649	3876.1468
ANKRD53	686.2248	3229.5919
ANKRD54	1147.7232	822.7496
