GENE	H3k27ac_16_DMSO_compare_TSS_SIGNAL	H3k27ac_16_DMSO_compare_DISTAL_SIGNAL
AHSP	0.0	1176.137
AICDA	0.0	940.3328
AIDA	16752.9762	13023.944
AIF1	1113.7782000000002	1254.0993999999998
AIF1L	0.0	343.8639
AIFM1	4776.562	7580.5808
AIFM2	2921.5656999999997	2095.9279
AIFM3	0.0	7309.2207
AIG1	2861.6000000000004	1301.3396
AIM1L	0.0	4705.4412
AIM2	19873.0	23935.979600000002
AIMP1	9249.463899999997	0.0
AIMP2	4782.2911	6733.830599999999
AIP	3580.5624	14112.463099999999
AIPL1	0.0	0.0
AIRE	0.0	18679.154499999997
AK1	0.0	42685.612
AK2	1724.1009	24338.287
AK3	4010.5056	2764.5996999999998
AK4	0.0	3740.5184
AK5	0.0	0.0
AK7	0.0	845.2473
AKAP1	5053.4	2690.891
AKAP10	9442.0	28342.057
AKAP11	6298.4	1708.6417
AKAP12	0.0	4588.0925
AKAP13	3826.0	34405.515
AKAP14	0.0	3033.965
AKAP17A	902.22	10590.183299999999
AKAP2	2879.2	86161.20920000001
AKAP3	0.0	2068.9646
AKAP4	0.0	3071.2866
AKAP5	676.2547	11109.888699999998
AKAP6	0.0	2368.2308000000003
AKAP7	0.0	3383.6082
AKAP8	6606.8	19348.1378
AKAP8L	2386.8662999999997	15052.9529
AKAP9	4606.5942000000005	1425.8427
AKD1	2057.3142	3.0149
AKIRIN1	1785.8496	999.5572000000001
AKIRIN2	8265.8156	8390.770400000001
AKNA	0.0	95159.17469999999
AKNAD1	0.0	0.0
AKR1A1	4706.028	8167.1267
AKR1B1	4785.744	128.74
AKR1B10	0.0	128.74
AKR1B15	0.0	391.628
AKR1C1	0.0	732.4348
AKR1C2	0.0	732.4348
AKR1C3	818.6827999999999	732.4348
AKR1C4	0.0	1220.3345
AKR1CL1	0.0	1220.3345
AKR1D1	0.0	20975.207
AKR1E2	0.0	2274.8852
AKR7A2	3379.1152	99.5633
AKR7A2P1	0.0	1001.2132
AKR7A3	0.0	496.9023000000001
AKR7L	0.0	496.9023000000001
AKT1	0.0	2402.0642000000003
AKT1S1	25845.4868	11014.9299
AKT2	5706.400000000001	1275.5068999999999
AKT3	0.0	6772.5257
AKTIP	4234.4	8141.639299999999
ALAD	1054.248	12061.381099999999
ALAS1	1978.4086	10777.005
ALAS2	0.0	0.0
ALB	0.0	698.7850000000001
ALCAM	4363.217	8482.9026
ALDH16A1	10685.1373	5174.186500000001
ALDH18A1	2134.0571999999997	39.205600000000004
ALDH1A3	0.0	13435.261199999999
ALDH1B1	1809.9424000000001	4818.7178
ALDH1L1	0.0	43.9362
ALDH1L2	2920.3979000000004	5719.1823
ALDH2	0.0	143.62359999999998
ALDH3A1	0.0	717.3738999999999
ALDH3A2	6607.599999999999	1178.9944
ALDH3B1	30189.407799999997	23063.029699999996
ALDH3B2	0.0	15989.437999999998
ALDH4A1	5656.361400000001	17322.899100000002
ALDH5A1	2586.1470999999997	6707.3677
ALDH6A1	4527.5849	1136.8869
ALDH7A1	0.0	5876.8748
ALDH8A1	0.0	76539.50929999999
ALDH9A1	4964.1894999999995	7796.8648
ALDOA	18780.453500000003	13516.5679
ALDOB	0.0	24572.0154
ALDOC	0.0	4437.177699999999
ALG1	5923.2668	9908.707000000002
ALG10	2950.7164	0.0
ALG10B	3182.385	3441.5266
ALG11	302.2165	0.0
ALG12	4517.7148	5843.749
ALG13	3926.9644	0.0
ALG14	3663.3478	0.0
ALG1L	0.0	32183.632699999995
ALG1L2	0.0	30677.0439
ALG2	16115.692699999998	16469.4428
ALG3	8606.0843	1336.8324000000002
ALG5	10718.7269	260.364
ALG6	3268.143	3432.379
ALG8	2771.0153999999998	145.53369999999998
ALG9	4416.0455999999995	3207.3325999999997
ALKBH1	1275.1885	1524.5495999999998
ALKBH2	1131.6032	11467.3181
ALKBH3	1656.8786	14697.1186
ALKBH4	5379.801800000001	157018.02039999998
ALKBH5	10906.2	1416.1852
ALKBH6	2210.6326	477.5428
ALKBH7	4194.7525000000005	1681.8567
ALKBH8	7216.397	658.896
ALLC	0.0	1278.6144
ALMS1	3952.7743	1915.4755
ALMS1P	0.0	0.0
ALOX12	0.0	10493.5642
ALOX12B	0.0	18296.981399999997
ALOX12P2	6689.646	1413.4278000000002
ALOX15	0.0	4053.4215
ALOX15B	0.0	6336.219800000001
ALOX5	1310.1965	77266.55179999999
ALOX5AP	0.0	5457.9319
ALOXE3	1364.7447	24570.608600000003
ALPI	0.0	377.2143
ALPK1	1265.4974	6213.9238000000005
ALPK2	0.0	25384.368799999997
ALPK3	0.0	12034.835899999998
ALPL	0.0	0.0
ALPP	0.0	1127.5259999999998
ALPPL2	0.0	1127.5259999999998
ALS2	2884.7	6068.762
ALS2CL	0.0	561.5148
ALS2CR11	0.0	943.1279000000001
ALS2CR12	0.0	13031.718700000001
ALS2CR4	2916.4172	0.0
ALS2CR8	6456.5812000000005	177.5926
ALX3	0.0	1314.528
AMAC1	0.0	1038.3827999999999
AMAC1L2	0.0	3223.6661999999997
AMAC1L3	0.0	5824.9808
AMACR	12440.2	677.7915
AMBN	0.0	43497.59500000001
AMBRA1	0.0	8943.4663
AMD1	5676.1605	5732.6866
AMDHD1	3813.1477999999997	1749.1154999999999
AMDHD2	2111.0724	5132.9105
AMELX	0.0	17839.3212
AMFR	1190.8609	204.6875
AMH	0.0	33105.0707
AMHR2	0.0	112326.37169999999
AMICA1	0.0	12.8871
AMIGO1	0.0	1337.7012000000002
AMIGO3	0.0	1120.1259
AMMECR1	5861.0	4431.3743
AMMECR1L	4632.6527	11665.097600000001
AMN	0.0	6778.798700000001
AMN1	4714.1067	11165.6
AMOTL1	2528.7891	212.7708
AMOTL2	0.0	996.5844
AMPD1	8361.4	9712.606300000001
AMPD2	1206.3607	1597.3076
AMPD3	3176.1214	5883.7328
AMT	0.0	12856.9271
AMY1A	0.0	402.6834
AMY1B	0.0	402.6834
AMY1C	0.0	402.6834
AMY2A	0.0	402.6834
AMY2B	0.0	402.6834
AMZ1	0.0	29182.126200000002
AMZ2	9160.8478	50670.4586
AMZ2P1	9303.599999999999	40964.440800000004
ANAPC1	6642.9048	11293.425799999999
ANAPC10	5757.9981	5364.919899999999
ANAPC11	4870.429800000001	4400.6637
ANAPC13	14150.562600000001	2314.7208
ANAPC16	5167.217600000001	41064.897899999996
ANAPC2	6251.2652	6120.3139999999985
ANAPC4	2444.1364	4780.188
ANAPC5	3073.1806	4079.3652
ANAPC7	4509.1455	106.96629999999999
ANG	7052.1348	23310.645899999996
ANGEL1	1953.9959999999999	566.8242
ANGEL2	9128.281700000001	17276.117
