Gene,Protein_Acc,Label,log2FC,SE,Tvalue,DF,pvalue,adj.pvalue,issue,MissingPercentage,ImputationPercentage,logpval,logadjpval,TF_1639
PRKD2,Q9BZL6,B5r_IKZF3-IgG,0.0688945888360575,0.06849170997889373,1.0058821550416528,9,0.3407487558542599,0.6203728171913957,NA,0.7,0.0875,0.467565721191355,0.20734723987586084,NA
EDEM3,Q9BZQ6,B5r_IKZF3-IgG,-0.14345949840715383,0.15653578713679647,-0.9164645416308841,9,0.38332345272625257,0.6484746027760088,NA,0,0,0.4164346086663199,0.188107028200136,NA
NIBAN1,Q9BZQ8,B5r_IKZF3-IgG,0.1580453727765203,0.1676039581579618,0.9429692145311221,9,0.370319094635732,0.6398622995842871,NA,0.0625,0.0625,0.43142389399664977,0.19391347752406032,NA
UBXN6,Q9BZV1,B5r_IKZF3-IgG,0.06442289326616558,0.31754792938969784,0.20287612452703227,6,0.8459367463194745,0.9393728001308241,NA,0.375,0,0.07266210948039525,0.027162019119888404,NA
API5,Q9BZZ5,B5r_IKZF3-IgG,-0.07820900795664266,0.06515467720220666,-1.2003590734387657,9,0.2606405482310856,0.5457191065813985,NA,0.375,0.125,0.5839580195399977,0.263030840540464,NA
DPY30,Q9C005,B5r_IKZF3-IgG,0.2927401496411459,0.04101767910360981,7.136926223975041,9,5.443236970270604e-5,0.00152951098412852,NA,0.04166666666666663,0,4.264142758344937,2.8154473997977885,NA
TRIM4,Q9C037,B5r_IKZF3-IgG,-0.11279281662850887,0.1226317906871835,-0.9197681612284986,8,0.3845885635996309,0.6492287554246858,NA,0.125,0,0.41500363439660304,0.18760225279266735,NA
KRT23,Q9C075,B5r_IKZF3-IgG,-0.6803154851927644,0.39071102432448074,-1.7412241857495445,9,0.11562853278133112,0.3518588685711474,NA,0.125,0.125,0.9369349851156179,0.45363149814526277,NA
INO80B,Q9C086,B5r_IKZF3-IgG,0.004594827268619845,0.06933690195732987,0.06626813628690123,9,0.9486130864356732,0.9785195764989121,NA,0.5,0,0.022910888404789845,0.009430481318799908,NA
SETD5,Q9C0A6,B5r_IKZF3-IgG,0.2652313576191642,0.13113995429021177,2.0225061008654093,8,0.07775582805854198,0.2784143952197715,NA,0.125,0,1.1092670492618237,0.555308313591331,NA
UNK,Q9C0B0,B5r_IKZF3-IgG,0.5185936624459125,0.15853825279874662,3.27109485118542,9,0.009665794300529384,0.07508995493862239,NA,0,0,2.014762451396143,1.1244181562915512,NA
ZDHHC5,Q9C0B5,B5r_IKZF3-IgG,0.12827044696613846,0.08653151332126584,1.4823552951155303,9,0.17239082137454753,0.4386720836775577,NA,0.5555555555555556,0,0.7634858610896306,0.35786000245522254,NA
TNKS1BP1,Q9C0C2,B5r_IKZF3-IgG,0.2578276080746403,0.3020406541343983,0.853618890521656,9,0.41545703157045333,0.6752994367772998,NA,0.5900000000000001,0.345,0.38147388624043477,0.17050361249603674,NA
UBE2O,Q9C0C9,B5r_IKZF3-IgG,-0.1344189553416904,0.15221769896585868,-0.8830704724543208,9,0.4001707434583832,0.6625476329219032,NA,0.25,0.25,0.39775466587231995,0.17878289328322902,NA
ZYG11B,Q9C0D3,B5r_IKZF3-IgG,0.3403848402528655,0.3436341197606696,0.9905443629693491,5,0.3673915542435193,0.6380811870374127,NA,0.375,0,0.43487083166547147,0.19512405977548486,NA
LNPK,Q9C0E8,B5r_IKZF3-IgG,0.15474961199657944,0.261983894434358,0.5906836843184385,9,0.5692663912687306,0.7995575898147171,NA,0,0,0.2446844556006997,0.0971502498189458,NA
CEP44,Q9C0F1,B5r_IKZF3-IgG,0.5359244977884847,0.3952836260847152,1.3557973627615634,8,0.21219258216843584,0.4866009479115084,NA,0,0,0.6732698022425215,0.31282704938724626,NA
ZNF407,Q9C0G0,B5r_IKZF3-IgG,0.6650317320521159,0.2483611184015107,2.6776805336212024,9,0.025302034049184297,0.14179159675087435,NA,0.375,0.375,1.5968445641669462,0.8483495067613173,C2H2 ZF
WDR33,Q9C0J8,B5r_IKZF3-IgG,0.031038791069688543,0.0257237720822845,1.2066189581528908,9,0.2583368047336638,0.5428840757599336,NA,0.421875,0.015625,0.587813716342854,0.2652928971747087,NA
WDR12,Q9GZL7,B5r_IKZF3-IgG,-0.18244481722259825,0.07651571354346302,-2.384409799942133,9,0.04093075956269776,0.19443041688278578,NA,0.3977272727272727,0,1.3879501959648575,0.7112357926452735,NA
ACTR6,Q9GZN1,B5r_IKZF3-IgG,0.3135114146099075,0.2568736655108556,1.2204887331926921,9,0.2532914809082716,0.5367413901249353,NA,0.5,0,0.5963794168290588,0.2702349133588227,NA
DERL2,Q9GZP9,B5r_IKZF3-IgG,0.13918035730830558,0.220238377174314,0.6319532458148621,8,0.5450492446191149,0.78612490250489,NA,0.375,0.375,0.263564257906505,0.10450844612453873,NA
COMMD5,Q9GZQ3,B5r_IKZF3-IgG,0.025098786164637236,0.14814061531862524,0.16942542131780686,9,0.8692089973486823,0.945520121963987,NA,0,0,0.060875786862947985,0.024329224338839384,NA
SENP6,Q9GZR1,B5r_IKZF3-IgG,0.0716188225708549,0.28931283647936235,0.24754802947004295,6,0.8127376657959053,0.9268271459587704,NA,0.375,0,0.09004961268686316,0.033001254589174134,NA
REXO4,Q9GZR2,B5r_IKZF3-IgG,0.013874033566775548,0.16388945693585,0.0846548266506622,9,0.93438900841133,0.9740757728491954,NA,0.34375,0.0625,0.02947227897994566,0.011407258264800445,Unknown
DDX24,Q9GZR7,B5r_IKZF3-IgG,0.2401774491971178,0.0428836069943956,5.600682079483339,9,3.3398097845838137e-4,0.00627938148920697,NA,0.4191176470588235,0,3.4762782672776713,2.202083131589735,NA
POLR1E,Q9GZS1,B5r_IKZF3-IgG,-0.01338030423403059,0.07955153018698116,-0.16819669216394678,9,0.8701476224031113,0.945520121963987,NA,0.3571428571428571,0.07142857142857142,0.060407062144100535,0.024329224338839384,NA
SKIC8,Q9GZS3,B5r_IKZF3-IgG,0.09561408478504595,0.06374861560488979,1.4998613519336088,9,0.16788591787416407,0.43385866009033486,NA,0.3522727272727273,0.056818181818181816,0.7749857305804171,0.36265172933604556,NA
CTDSP1,Q9GZU7,B5r_IKZF3-IgG,-0.14813323550220492,0.12347307554687836,-1.199720950062218,9,0.2608763220255348,0.5457191065813985,NA,0,0,0.5835653370757377,0.263030840540464,NA
LAT2,Q9GZY6,B5r_IKZF3-IgG,0.052105758245151186,0.13157245444654908,0.3960233049108238,9,0.7013124485006967,0.8754253059104475,NA,0.453125,0.0625,0.15408845217896103,0.057780903395262165,NA
NAA50,Q9GZZ1,B5r_IKZF3-IgG,-0.4102209846087632,0.1309376926526117,-3.1329480174750954,9,0.012064269641174352,0.08893690448937538,NA,0,0,1.9184989647132393,1.0509179905445882,NA
UBA5,Q9GZZ9,B5r_IKZF3-IgG,-0.3156011239540062,0.24150857641813733,-1.3067905439829528,9,0.22368646299288852,0.5019966459030859,NA,0.25,0.25,0.6503602976440044,0.2992991845893391,NA
MKRN2,Q9H000,B5r_IKZF3-IgG,1.4130963284901408,0.17956483904078094,7.869560299437089,8,4.914444830994569e-5,0.001442298549659295,NA,0.125,0,4.308525535909893,2.8409448332023706,NA
MIS12,Q9H081,B5r_IKZF3-IgG,1.1302645859251106,0.24249125763260826,4.661052926029782,9,0.0011834622634041558,0.016337552221628103,NA,0.3125,0.3125,2.9268455856914932,1.786813011222957,NA
RAB33B,Q9H082,B5r_IKZF3-IgG,-0.028954631787081894,0.12350918089615018,-0.2344330322409613,9,0.8198951208629282,0.9291514446981076,NA,0.3125,0.3125,0.08624169803530671,0.03191349350229734,NA
LSG1,Q9H089,B5r_IKZF3-IgG,0.0854305230959738,0.1289450976123828,0.6625340914687848,8,0.5262519834365942,0.7692478400528848,NA,0.5,0.15625,0.2788062543031736,0.11393371452077732,NA
NAT10,Q9H0A0,B5r_IKZF3-IgG,0.07571476851005433,0.06669142260818627,1.1352999463646238,9,0.2855786755068954,0.5694661308496896,NA,0.5,0.028225806451612902,0.544274224961147,0.24453210059716224,NA
ILKAP,Q9H0C8,B5r_IKZF3-IgG,-0.10725445035947435,0.1354786884058788,-0.7916702739116589,9,0.44891404137742796,0.702170324491658,NA,0,0,0.34783681028699814,0.15355752887501786,NA
XRN2,Q9H0D6,B5r_IKZF3-IgG,0.08990829486716924,0.07083183591357932,1.269320408084082,9,0.23616659773909632,0.5144272800283767,NA,0.4267241379310345,0.03017241379310345,0.6267815268893285,0.2886760088792329,NA
TOLLIP,Q9H0E2,B5r_IKZF3-IgG,-0.1614948167723691,0.10743336507771738,-1.5032091441568793,9,0.16703630672048542,0.4332820208574595,NA,0,0,0.7771891211002792,0.3632293317465966,NA
SAP130,Q9H0E3,B5r_IKZF3-IgG,0.08738837711509097,0.05844851800231122,1.4951341813600028,9,0.1690920662019917,0.4349729212379814,NA,0.25,0.05,0.7718767690168541,0.36153777873035503,NA
BRD8,Q9H0E9,B5r_IKZF3-IgG,0.6699084569237002,0.09149672517994936,7.321665946034364,9,4.460079327373023e-5,0.0013286341575227006,NA,0.4553571428571429,0.008928571428571428,4.350657416818354,2.8765945865829115,NA
NSRP1,Q9H0G5,B5r_IKZF3-IgG,0.049053137803807274,0.1885472644528445,0.26016361439216434,8,0.8013083313807328,0.9227707457550245,NA,0,0,0.09620034177928319,0.03490618220312571,NA
INTS2,Q9H0H0,B5r_IKZF3-IgG,0.3810748733306087,0.16751651012390184,2.2748496434694743,9,0.048973209156531805,0.21559094964242112,NA,0.4642857142857143,0.03571428571428571,1.310041436245046,0.6663694744818428,NA
PUS7L,Q9H0K6,B5r_IKZF3-IgG,0.12361712491537523,0.272824234038323,0.4531017024609735,9,0.661201521328322,0.8522057343860806,NA,0,0,0.17966615585114168,0.06945554781233974,NA
DDX47,Q9H0S4,B5r_IKZF3-IgG,0.007799453844330464,0.08148548669788656,0.09571586500118129,9,0.9258436011803155,0.9711914521074992,NA,0.33333333333333337,0,0.03346237064098793,0.012695148672938061,NA
MAGT1,Q9H0U3,B5r_IKZF3-IgG,-0.2302492775949112,0.14965288975897598,-1.5385555064505607,9,0.15829488175632211,0.4203514219293219,NA,0.1875,0.1875,0.8005331272154832,0.37638747914960485,NA
RAB1B,Q9H0U4,B5r_IKZF3-IgG,-0.1486340347511508,0.10836198486233281,-1.3716437082615378,9,0.20339550317231936,0.474932198460137,NA,0.4,0,0.691658653030955,0.323368386030665,NA
SMG9,Q9H0W8,B5r_IKZF3-IgG,-0.18856518979348905,0.14479054934291252,-1.3023307850493993,8,0.22904375013356892,0.507764588041134,NA,0,0,0.640081554224223,0.2943375904937985,NA
RBM38,Q9H0Z9,B5r_IKZF3-IgG,-0.04648972450067924,0.23079491678442848,-0.20143305211571216,2,0.8589885354530777,0.9437257118305116,NA,0.625,0,0.06601263246991243,0.02515421242629987,NA
GZF1,Q9H116,B5r_IKZF3-IgG,-0.2787857717763842,0.3534811722025237,-0.788686339471163,9,0.4505699576530713,0.7039267240620932,NA,0.1875,0.1875,0.34623776880494295,0.15247254681210978,C2H2 ZF
