GENE	H3k27ac_15_DMSO_compare_TSS_SIGNAL	H3k27ac_15_DMSO_compare_DISTAL_SIGNAL
AMOTL1	3227.5554	286.1001
AMOTL2	0.0	865.3764
AMPD1	8780.2	9081.4602
AMPD2	1188.4956000000002	1688.4829
AMPD3	3810.3149	6112.1144
AMT	0.0	13015.8046
AMY1A	0.0	487.39320000000004
AMY1B	0.0	487.39320000000004
AMY1C	0.0	487.39320000000004
AMY2A	0.0	487.39320000000004
AMY2B	0.0	487.39320000000004
AMZ1	0.0	31362.1725
AMZ2	10848.1685	51408.799399999996
AMZ2P1	11094.6	40595.5344
ANAPC1	7501.9896	12284.6865
ANAPC10	6908.821	5487.292799999999
ANAPC11	6125.8928000000005	5107.9707
ANAPC13	16212.738899999998	2359.8936
ANAPC16	6264.205400000001	43686.9447
ANAPC2	7374.7435000000005	7474.8805
ANAPC4	2437.8959	4408.7286
ANAPC5	3281.4316	4627.298199999999
ANAPC7	5131.5775	77.468
ANG	8120.354399999999	22700.412300000004
ANGEL1	2403.5879999999997	582.3792
ANGEL2	9574.5016	17747.289099999998
ANGPT1	0.0	801.2032
ANGPT4	0.0	1967.9786000000001
ANGPTL2	0.0	4699.446099999999
ANGPTL3	0.0	0.0
ANGPTL4	0.0	11052.9563
ANGPTL5	1853.2387999999999	0.0
ANGPTL6	0.0	5064.6598
ANGPTL7	0.0	968.3472
ANK1	0.0	11217.204600000001
ANK2	541.5945	3981.5215000000003
ANK3	0.0	2855.9146
ANKAR	908.922	8058.663699999999
ANKDD1A	1493.3676	85856.8195
ANKFY1	4354.0224	43.0969
ANKH	2491.5342	6366.644899999999
ANKHD1	10533.6	3123.9144
ANKIB1	8841.911	991.7325999999999
ANKK1	0.0	2031.4466
ANKLE1	0.0	6329.204099999999
ANKLE2	2576.2	30.0312
ANKMY1	0.0	21691.533600000002
ANKMY2	9491.0456	489.32750000000004
ANKRA2	5901.8728	1131.9135999999999
ANKRD1	0.0	807.3608
ANKRD10	11650.2	7172.6026
ANKRD11	1921.6	6534.068700000001
ANKRD12	33229.6	379757.5824
ANKRD13A	3876.988	15289.185300000001
ANKRD13B	0.0	7164.5463
ANKRD13C	14890.350100000001	1225.0350999999998
ANKRD13D	15169.3016	43366.20970000001
ANKRD16	3555.5534	12514.972699999998
ANKRD17	13604.4	3236.3778
ANKRD18A	11364.1846	1618.8231999999998
ANKRD19	1437.9664	23502.154000000002
ANKRD2	0.0	1813.1535000000001
ANKRD22	0.0	487.884
ANKRD23	0.0	6120.575500000001
ANKRD24	2915.3572	6516.584
ANKRD26	6708.6578	1988.136
ANKRD26P1	0.0	5561.4572
ANKRD27	1848.8275	37.185199999999995
ANKRD28	11068.599999999999	11101.7351
ANKRD29	0.0	1228.5170999999998
ANKRD30BL	0.0	33952.1107
ANKRD31	2365.9632	48.622
ANKRD32	5411.365400000001	3479.7185
ANKRD33B	11262.4	20438.843399999998
ANKRD34A	2578.2439999999997	93496.7098
ANKRD34B	0.0	49.9346
ANKRD34C	0.0	1594.2209999999998
ANKRD35	0.0	54777.402899999994
ANKRD36	14603.8	210.78490000000002
ANKRD36B	15677.8	851.8283
ANKRD36BP1	0.0	11081.0067
ANKRD36BP2	2755.932	48462.918600000005
ANKRD37	8835.0	62272.97030000001
ANKRD39	13997.6	6120.575500000001
ANKRD40	9948.0	7744.5473
ANKRD42	3498.3434	14346.1561
ANKRD43	0.0	1205.2984000000001
ANKRD44	4950.9767999999995	49061.311799999996
ANKRD45	0.0	1791.5306
ANKRD46	1552.6208	20192.7304
ANKRD49	5098.3552	1433.7897
ANKRD5	2163.6056	872.7108
ANKRD50	4257.435	3231.1035
ANKRD52	4127.3820000000005	10873.9907
ANKRD53	646.1052	7430.1278999999995
ANKRD54	3185.9568	3179.3254
ANKRD55	0.0	82572.50709999999
ANKRD56	1558.2875	5928.882799999999
ANKRD57	6257.789400000001	15927.9871
ANKRD58	777.3488	19800.6524
ANKRD6	0.0	48166.9681
ANKRD7	0.0	996.3754000000001
ANKRD9	412.9936	342.72139999999996
ANKS1A	2558.6147	1120.5702999999999
ANKS3	2258.4111000000003	4746.3337
ANKZF1	5712.2978	5659.0207
ANLN	5708.1338000000005	2557.9447
ANO10	2467.9138	1167.5408
ANO3	0.0	1115.5762
ANO4	675.5856	847.3354
ANO5	2544.7136	0.0
ANO6	8943.3812	4051.1568
ANO7	0.0	346.0827
ANO8	0.0	10463.5106
ANO9	0.0	2329.8653999999997
ANP32A	7910.599999999999	31033.171399999996
ANP32B	10718.6	13065.6994
ANP32C	0.0	383.88000000000005
ANP32E	23401.426199999998	22188.8011
ANPEP	0.0	36259.1829
ANTXR2	1908.9855	4362.095
ANUBL1	3937.476	3883.4705999999996
ANXA1	0.0	6748.8240000000005
ANXA10	0.0	1440.1978
ANXA11	8656.522400000002	51081.40930000001
ANXA13	0.0	15734.069800000001
ANXA2	4731.200000000001	5717.335399999999
ANXA2P1	0.0	3550.8916999999997
ANXA2P2	0.0	7370.5328
ANXA3	0.0	1560.4643999999998
ANXA4	2843.3032000000003	6191.3182
ANXA5	4316.727	3.354
ANXA6	14807.1495	58446.66840000002
ANXA7	7695.5008	1337.7833
ANXA8	0.0	0.0
ANXA8L1	0.0	0.0
ANXA9	0.0	14990.136400000001
AOC2	0.0	7914.838199999999
AOC3	0.0	7914.838199999999
AOX1	0.0	0.0
AOX2P	0.0	3073.6290000000004
AP1AR	7654.4	5399.3308
AP1B1	2843.5062	4932.4615
AP1G1	17780.6	28957.723699999995
AP1G2	1823.6556	826.396
AP1M1	2275.725	82971.75270000001
AP1M2	0.0	5567.686500000001
AP1S1	0.0	1682.7161
AP1S2	7844.599999999999	7908.060299999999
AP1S3	4209.9177	5514.5182
AP2A1	2830.0305	10132.3087
AP2A2	1887.424	4156.7786
AP2B1	4572.6954000000005	4196.7144
AP2M1	3497.9476	1303.4409
AP2S1	1999.3847999999998	7281.344799999999
AP3B1	3840.8128	1107.2707
AP3B2	0.0	5604.8044
AP3D1	4468.200000000001	147491.91230000003
AP3M1	9360.270799999998	7912.058599999999
AP3M2	2916.0	1064.0468
AP3S1	5760.424	34.1318
AP3S2	8308.4337	4948.675700000001
AP4B1	3621.5394	10032.3501
AP4E1	7356.9355	3806.2573
AP4M1	10902.4268	1598.1393
AP4S1	6344.322	254.66039999999998
APAF1	2151.5901	342.2817
APBA1	0.0	1371.1117
APBA2	0.0	3660.276
APBA3	12132.510699999999	1854.9856
APBB1	0.0	42.5591
APBB1IP	4977.599999999999	5790.4501
APBB2	1127.6716	12656.4788
APBB3	7075.698	4071.1599999999994
APC	4236.437800000001	1896.0897
APC2	0.0	6143.750599999999
APCDD1	0.0	1092.2979
APEH	6352.938	1097.3733
APEX1	6205.7771999999995	2604.0941000000003
APEX2	3958.5078000000003	0.0
APH1A	11554.1091	7401.5858
APH1B	0.0	5025.7504
API5	3205.2716	414.654
APIP	8936.2981	12208.5032
APITD1	3649.3586999999998	5152.0317000000005
APITD1-CORT	3649.3586999999998	5152.0317000000005
APLF	7012.447899999999	15818.439499999999
APLN	0.0	765.6
APLNR	0.0	1575.0052
APLP1	0.0	1029.8009
APLP2	2696.2000000000003	6208.0402
APOA1	0.0	16997.3663
APOA1BP	5393.0	142758.8693
APOA2	0.0	46693.480200000005
APOA4	0.0	5344.823
APOA5	0.0	5344.823
APOB	0.0	1561.1573999999998
APOB48R	2418.0825999999997	750.642
APOBEC1	0.0	2454.5982999999997
APOBEC2	0.0	2968.5192
APOBEC3A	0.0	40382.902699999984
APOBEC3B	10567.199999999999	53302.592399999994
APOBEC3C	12723.599999999999	57616.75429999999
APOBEC3D	11826.599999999999	59023.26849999999
APOBEC3F	10495.3474	59721.47649999999
APOBEC3G	9919.6	69808.18749999999
APOBEC3H	3913.785	59163.3865
APOBEC4	0.0	6843.8807
APOC1	0.0	3922.1516
APOC1P1	0.0	13558.0016
APOC2	0.0	23204.83
APOC3	0.0	16997.3663
APOC4	0.0	13631.084499999999
APOD	0.0	13611.174500000001
APOE	0.0	3922.1516
APOF	0.0	11544.134
APOH	0.0	883.304
APOL1	3115.1752	65142.981400000004
APOL2	7236.0216	65142.981400000004
APOL3	6860.0	35821.1177
APOL4	0.0	34052.4162
APOL5	0.0	7006.4725
APOL6	11551.9122	5793.8072
APOLD1	24194.0373	121024.86830000002
APOM	0.0	26928.524999999998
APOO	4890.4745	1445.2911
APOOL	1452.1257	20.9844
APP	4491.462	3892.0272
APPBP2	5872.2948	8639.0227
APPL1	5687.8	953.9
