To,From,type
YY1,CCND1,PPI
SKP2,CCND1,PPI
CDK2,CCND1,PPI
TAF1,CCND1,PPI
RAD51,CCND1,PPI
UBE2J2,SLC25A3,PPI
SOD2,SLC25A3,PPI
CBX1,SLC25A3,PPI
SDHA,SLC25A3,PPI
HSP90B1,SLC25A3,PPI
CAD,SLC25A3,PPI
TTF2,SLC25A3,PPI
MYC,SLC25A3,PPI
RNF4,SLC25A3,PPI
CIT,SLC25A3,PPI
SUMO2,SLC25A3,PPI
CLTC,SLC25A3,PPI
IPO7,SLC25A3,PPI
HUWE1,SLC25A3,PPI
GRB2,SLC25A3,PPI
PPP2R1A,SLC25A3,PPI
GAPDH,SLC25A3,PPI
CHD4,SLC25A3,PPI
POU2F1,GAPDH,PPI
EP300,GAPDH,PPI
SMG1,GAPDH,PPI
PRPF40A,GAPDH,PPI
HNRNPR,GAPDH,PPI
PKM,GAPDH,PPI
PPP6C,GAPDH,PPI
PABPC1,GAPDH,PPI
CTBP1,GAPDH,PPI
NPAT,GAPDH,PPI
MIB1,GAPDH,PPI
ACTG1,GAPDH,PPI
HUWE1,GAPDH,PPI
POT1,GAPDH,PPI
ALDOA,GAPDH,PPI
TXN,GAPDH,PPI
ILF2,GAPDH,PPI
NME2,GAPDH,PPI
CNOT1,GAPDH,PPI
HMGB1,GAPDH,PPI
YBX1,GAPDH,PPI
RNF4,GAPDH,PPI
SRF,GAPDH,PPI
HNRNPU,GAPDH,PPI
MDM2,GAPDH,PPI
SENP6,GAPDH,PPI
TINF2,GAPDH,PPI
TPI1,GAPDH,PPI
CREBBP,GAPDH,PPI
DHX9,GAPDH,PPI
TUBB,GAPDH,PPI
AP2M1,GAPDH,PPI
PPP2R1A,GAPDH,PPI
RBPJ,GAPDH,PPI
YWHAZ,GAPDH,PPI
NCBP1,GAPDH,PPI
PGK1,GAPDH,PPI
RPL26L1,GAPDH,PPI
KPNA2,GAPDH,PPI
ACTR2,GAPDH,PPI
HSPA8,GAPDH,PPI
TFIP11,GAPDH,PPI
EWSR1,GAPDH,PPI
CFL1,GAPDH,PPI
SUMO2,GAPDH,PPI
ACTR10,GAPDH,PPI
KIF14,GAPDH,PPI
PPP2CA,GAPDH,PPI
GRB2,GAPDH,PPI
GPS1,GAPDH,PPI
CCNB1,GAPDH,PPI
SOD1,GAPDH,PPI
GSPT1,GAPDH,PPI
CIT,GAPDH,PPI
MRTO4,GAPDH,PPI
PPIA,GAPDH,PPI
