CTRL KMS12BM	CTRL MM1R	LOG2_FOLD_CHANGE	P_VALUE
ACLY	202.818205166667	136.586924366667	-0.570367776638081	0.000355940382016448
ACN9	56.96317699	21.12754954	-1.43090416426371	5.28485736069604e-05
ACO1	37.2328315166667	21.4400239566667	-0.796268817926829	0.000241248066731468
ACO2	92.34161372	151.417065466667	0.713474963889919	0.00712339654131276
ACOT11	0.756349511	0.845610893333333	0.160940900419597	0.685225481844448
ACOT13	29.7728199933333	20.8753985566667	-0.512192133820116	0.00131892462756129
ACOT2	17.66168198	1.086018244	-4.02350249785222	0.000560525793364915
ACOT7	107.758590533333	68.9427507933333	-0.644332117766164	0.00205918129858056
ACOT8	58.7569115	41.57619402	-0.499000867389889	0.00708710453890012
ACOT9	60.0532701466667	31.7253404566667	-0.920607162469945	0.000112633259771789
ACOX1	4.353348888	8.816574601	1.0180926056133	0.000203228132351785
ACOX3	5.27539152566667	9.52871202233333	0.853003050180982	0.00619828844612201
ACOXL	0.728421503666667	20.6816752833333	4.82743573056146	0.00150896697302692
ACP1	166.764306633333	175.109508966667	0.0704468936616526	0.00374241162349244
ACP2	33.4386622333333	35.6440401633333	0.0921437407519594	0.415878560139746
ACP5	20.22794151	3.22621627866667	-2.64843444991609	2.30789056795438e-05
ACP6	27.13964812	64.4026386066667	1.24671778188319	0.00106439627291374
ACPT	3.27151761766667	0.959661054666667	-1.7693631884022	0.0114543780774621
ACRC	2.55422553466667	3.08911237	0.274306432914688	0.083552161540177
ACRV1	1.78902280033333	1.40756566433333	-0.345969547011586	0.17961512273144
ACSBG2	1.00415767433333	0.827411800666667	-0.279308382442006	0.353167075068505
ACSF2	18.16955885	6.95105518833333	-1.38621948745999	5.44684131172705e-05
ACSF3	7.99603442766667	12.9434616966667	0.694866925274281	0.000947608868734801
ACSL1	7.60023288866667	4.83350688133333	-0.652973331156335	0.000345259159761684
ACSL3	50.86472418	42.90006135	-0.24568575104259	0.00334540852189064
ACSL4	32.3736140933333	33.0354754233333	0.0291976744252428	0.761729991794422
ACSL5	5.59629816166667	40.0336061	2.83866684085372	0.00189217358370184
ACSM3	4.720362509	3.417844959	-0.46581070362175	0.0149527367358709
ACSS1	214.461678833333	149.662696766667	-0.519005205909288	0.00430580930533856
ACSS2	18.39015289	22.6441533233333	0.300205123362091	0.00082480575306741
ACTA1	0.362286649333333	0.588142269333333	0.699033537759689	0.275615554519196
ACTA2	1.38019991966667	0.389050729333333	-1.82684706478403	0.00907267193485541
ACTB	2537.603197	5389.92786833333	1.08679947224907	1.01116215721883e-05
ACTG1	1450.49212566667	3249.697024	1.16376275540496	0.0013476516571328
ACTL10	10.9850327493333	3.992044593	-1.46033942937474	0.000941116333489148
ACTL6A	136.0675264	186.933643033333	0.458203441548575	0.00251230660767846
ACTL8	366.6393248	2.59192121766667	-7.14419585606761	0.000243270326941311
ACTN1	0.986773895	2.08387497733333	1.07847727040775	0.0214629402905181
ACTN4	121.5587653	222.8095357	0.874157051531914	0.000422549850082039
ACTR10	30.7019800966667	23.24155065	-0.401625376981884	0.00406793595634574
ACTR1A	58.8158082266667	62.5888252133333	0.0897011295463138	0.0901191504999024
ACTR1B	103.231736766667	115.416634933333	0.160964603820288	0.0119408136780594
ACTR2	304.497828666667	304.694777866667	0.000932833527522145	0.985742414024128
ACTR3	125.361407233333	172.306738966667	0.458885847029883	0.00248435907880352
ACTR3B	29.7870288133333	9.61554301933333	-1.63124398688648	0.000459740656508408
