CTRL KMS12BM	siIRF4 MM1S	LOG2_FOLD_CHANGE	P_VALUE
ACTA2	1.38019991966667	1.52789330133333	0.146666543826202	0.344766787366112
ACTB	2537.603197	5521.92915	1.12170588357863	0.00172180739332255
ACTG1	1450.49212566667	3653.803113	1.33285643216714	0.000945826933393725
ACTL10	10.9850327493333	2.78044441066667	-1.9821517720398	0.00048673406899431
ACTL6A	136.0675264	198.7360812	0.546531025227508	0.000397960523382473
ACTL8	366.6393248	0.261223581333333	-10.4548606800304	0.000256290422459624
ACTN1	0.986773895	5.396360429	2.45119525582403	0.000772149147560538
ACTN4	121.5587653	130.845959133333	0.106215444598292	0.167238244764954
ACTR10	30.7019800966667	31.5080775333333	0.0373900270240397	0.627257109104468
ACTR1A	58.8158082266667	70.2921483	0.257159580153182	0.00106955756957204
ACTR1B	103.231736766667	101.611049553333	-0.02282927543564	0.534756371685591
ACTR2	304.497828666667	415.0992761	0.447024475496029	0.00525204157643146
ACTR3	125.361407233333	241.134402933333	0.943744216790921	0.00036443950608236
ACTR3B	29.7870288133333	12.6558600633333	-1.23487867225907	0.000237436846285602
ACTR3C	4.97981064066667	7.21971326133333	0.535850655798906	0.0926911704914269
ACTR5	20.6088371066667	17.5822739533333	-0.229141430924053	0.0172158981504701
ACTR6	47.3612123066667	28.4668427933333	-0.734423514933188	7.04988119948789e-05
ACTR8	30.1296341133333	24.8722138233333	-0.276648228799542	0.028170198762656
ACVR1	0.633071344	5.15073804933333	3.02433917239979	0.0106189404298375
ACVR1B	7.88593163233333	2.76567872	-1.51164762996861	0.00863385735958791
ACVR1C	1.959939611	2.148779623	0.13270832559233	0.483433450093391
ACVR2A	2.90115439766667	3.87484249333333	0.417510591211614	0.015700500615498
ACVR2B	11.8232245733333	3.02966226933333	-1.96439467469661	0.00037620977091326
ACVR2B-AS1	0.880617803666667	0.192054376666667	-2.19700117052379	0.0384484194463224
ACY1	4.112417383	1.47508782633333	-1.47918584120233	0.010814013568368
ACY3	92.6331505633333	5.334906807	-4.11799360758017	1.4949222865137e-05
ACYP1	82.36040228	27.22239483	-1.5971568863354	6.89634213575402e-05
ACYP2	1.051046896	31.11339534	4.887636895216	0.000212214807231045
ADA	41.6882016566667	231.0344525	2.4703969626777	0.00181878668392726
ADAL	5.22690184166667	8.374938171	0.680122473090273	0.00144795012323973
ADAM10	97.1436376566667	196.799037933333	1.01853175209081	0.00219506451111228
ADAM11	4.28142457133333	1.12137999166667	-1.93281567506764	0.000276419545094909
ADAM15	148.722715166667	123.723930966667	-0.265500437582871	0.000671903684755443
ADAM17	33.2796547066667	30.7445359566667	-0.114310433229071	0.147012982284313
ADAM19	6.308678694	0.290584167	-4.44030987266581	0.000363148809102275
ADAM1A	4.738140717	4.654222801	-0.0257807702496173	0.85393642856481
ADAM22	12.44505676	3.95247771466667	-1.65474357690212	7.73856739525507e-05
ADAM8	16.8260954966667	224.868971366667	3.74031226144917	0.00484973050154221
ADAM9	35.29793576	42.87668076	0.280609409367377	0.00704432613328655
ADAMTS13	3.341624479	0.179264495333333	-4.22038793195658	0.00184415948178453
ADAMTS17	0.10214746	0.418616697666667	2.03497652811629	0.0428508710456043
ADAMTSL2	0.602235968333333	1.22203437833333	1.02088409149091	0.00238585174476505
ADAMTSL5	8.06777129566667	0.491646972333333	-4.03647552355096	0.000194717694362956
ADAP2	4.64663268666667	0.354692054333333	-3.71154668815626	0.011792289681076
ADAR	110.717885966667	248.844053466667	1.16835361016938	0.0028752198120664
ADAT1	7.294576945	7.73280731533333	0.0841679544048526	0.234246492713073
ADAT2	18.1909447166667	8.19276770166667	-1.15079765468251	0.000996584465940369
ADAT3	16.4144644133333	15.6041747966667	-0.073035612545487	0.522939667321176
ADC	0.263911183666667	2.01777557066667	2.93464132437951	0.000707775116072216
ADCK1	10.2723006166667	4.651248227	-1.14306948782476	0.00468214551508218
ADCK2	55.8772970333333	56.4869177166667	0.0156545456770656	0.812656356348985
ADCK3	150.783804633333	140.141653333333	-0.105595658367635	0.109912737851339
ADCK4	16.5098818133333	14.9148160666667	-0.146583606598539	0.0342474116927692
ADCK5	55.45837986	15.15373601	-1.87173195030888	0.000462478696310318
ADCY1	0.076900129	9.156527371	6.89567072889846	0.00292805662259117
ADCY3	42.7087364533333	103.44541156	1.27626653292471	0.00455846577669936
ADCY6	4.14558830266667	12.52362119	1.59500302113576	4.39078372966902e-05
ADCY7	28.6297186233333	89.6674566133333	1.64707098535828	0.00295035071333695
ADD1	66.36132622	103.628252513333	0.643002759659804	0.000725589734635004
