FEATURE_ID,GENE_SYMBOL,MS9_S9_L002_R1_001.fastq.gz,MS6_S6_L002_R1_001.fastq.gz,MS5_S5_L002_R1_001.fastq.gz,MS4_S4_L002_R1_001.fastq.gz,MS3_S3_L002_R1_001.fastq.gz,MS10_S10_L002_R1_001.fastq.gz
OR2T10,OR2T10,0,0,0,0,0,0
OR2T11,OR2T11,0,0,0,0,0,0
OR2T35,OR2T35,0,0,0,0,0,0
OR2T27,OR2T27,0,0,0,0,0,0
OR14I1,OR14I1,0,0,0,0,0,0
LYPD8,LYPD8,0,0,0,0,0,0
SH3BP5L,SH3BP5L,27.100802171810788,35.60050209974872,19.648076176150322,23.74113784110964,29.015736742396683,47.84138174654039
MIR3124,MIR3124,0,0,0,0,0,0
ZNF672,ZNF672,20.27640670373105,23.321360593035617,31.873137419730767,27.59332272625344,16.768305111170257,34.660088682367096
ZNF692,ZNF692,21.577204615962692,30.752036329935546,26.87917433221053,32.73750615674737,46.4061589556236,37.05068720816674
PGBD2,PGBD2,10.6902298909642,14.242296011738366,14.819942741673259,12.979817071355527,5.2967701942176015,18.56507582679283
TUBB8,TUBB8,0.03572394798116836,1.5586741137543456,0,0,0,0
ZMYND11,ZMYND11,65.07386428377676,30.00277813464719,18.48737593581573,32.56572202565212,28.222139955502545,46.79740754519843
DIP2C,DIP2C,0.4218828142537978,0,0.24035825897278584,0.1622937411120553,0,0.18623979576149957
MIR5699,MIR5699,0,0,0,0,0,0
PRR26,PRR26,0,0,0,0,0,0
LARP4B,LARP4B,21.539308408420098,35.657330153693835,32.43176241871185,17.405154020329388,18.01767869601976,18.405097911012913
GTPBP4,GTPBP4,69.24763004583588,87.49980745618738,135.2451210036652,35.56434810902196,60.70384695593601,37.46191071934015
IDI2,IDI2,0,0,0,0,0.9466207704943354,0
IDI2-AS1,IDI2-AS1,0,0,4.390884226603468,0,0.8341310874223294,0
IDI1,IDI1,153.91696437075885,126.65759578579382,80.29103240760949,64.17892427027928,89.32189228796722,80.77006498814802
WDR37,WDR37,16.63950374463914,17.78351049500422,11.239734890836903,21.480885066210064,14.969290741262645,38.1685871748405
LINC00200,LINC00200,0,0,0,0,0,0
ADARB2,ADARB2,0,0,0,0,0,0
ADARB2-AS1,ADARB2-AS1,0,0,0,0,0,0
LINC00700,LINC00700,0,0,0,0,0,0
MIR6072,MIR6072,0,0,0,0,0,0
LINC00701,LINC00701,0,0,0,0,0,0
PFKP,PFKP,0.4162218957778969,402.13179654857845,399.33329264841547,0,0.6166144027096234,0
PITRM1,PITRM1,59.36341584433793,114.21061750374145,59.075715912412726,76.61602945256024,59.70104769369282,57.57474892571744
PITRM1-AS1,PITRM1-AS1,0.14499926285585119,0.8627008833733573,0.8864696368614714,0.8281607327882737,0.3884525181857935,0.10101909706898532
KLF6,KLF6,705.6891826052089,19.04511201542311,27.53359656960674,35.24445199756142,252.978285974974,145.6039501623382
MIR6078,MIR6078,0,0,0,0,0,0
LINC00702,LINC00702,0,0,0,0,0,0
LINC00703,LINC00703,0,0,0,0,0,0
LINC00704,LINC00704,0,0,0,0,0,0
LINC00705,LINC00705,0,0,0,0,0,0
AKR1E2,AKR1E2,0,0,0,1.042456273812741,0,0
AKR1C6P,AKR1C6P,0,0,0,0,0,0
AKR1C1,AKR1C1,0,2.744728285883589,0,0.9519411017611403,0,0
AKR1C2,AKR1C2,0,2.415475961122559,0.2371677216834498,0,0,0
AKR1C3,AKR1C3,0,19.79437403553183,3.889377617629795,0,0,2.257813262167532
AKR1CL1,AKR1CL1,0,0,0,0,0,0
AKR1C4,AKR1C4,0,0,0,0,0,0
UCN3,UCN3,0,0,0,0,0,0
TUBAL3,TUBAL3,0,0,0,0,0,0
NET1,NET1,1.474568568698706,36.673895599024455,38.340869121344234,11.014356653126208,20.220718450400874,8.126006521885124
CALML5,CALML5,0,0,0,0,0,0
CALML3-AS1,CALML3-AS1,0,0,0,0,0,0
CALML3,CALML3,0,0,0,0,0,0
ASB13,ASB13,0,14.331512601490573,18.638668896734835,0.5231494931865147,0,0
FAM208B,FAM208B,22.410884107780042,14.046859292260066,10.827387442438983,11.352094442153135,18.538903185329787,13.604201750655864
GDI2,GDI2,318.4078445746278,293.66854903684333,341.3845698326391,186.05515179657485,217.48666543138958,188.5619929044314
ANKRD16,ANKRD16,2.2200307567251008,10.774822266271514,14.208835880883267,3.70846855418838,5.776942747235012,3.679160811370919
FBXO18,FBXO18,81.68275990710228,65.94422131810653,66.69745347993403,63.30587277322666,72.36042143913146,74.36385297037863
IL15RA,IL15RA,62.7200717539805,13.838666852571563,19.346469128650153,16.52535595868222,46.68181139989491,18.303717883400576
IL2RA,IL2RA,0,0,0.01134871802555203,0,0,0
RBM17,RBM17,54.43416957476311,77.05527090358763,55.902598836519495,57.08982969934547,39.9605572514581,59.43083875976641
PFKFB3,PFKFB3,229.97126994695643,146.90193752745324,130.07478757092707,23.788546253693433,254.53680688054533,17.692547797597758
MIR3155A,MIR3155A,0,0,0,0,0,0
MIR3155B,MIR3155B,0,0,0,0,0,0
LOC399715,LOC399715,4.075854348222311,0.9303347064676704,0.3445479975606572,0,1.668211041939159,0
PRKCQ,PRKCQ,2.0608313662780304,12.71881240038389,4.466357936806844,0,0,0.4476558378486455
PRKCQ-AS1,PRKCQ-AS1,2.5517015094156514,9.180242313130162,3.272299329061436,0.7491307471915233,4.194636327229405,2.062554900298114
LINC00706,LINC00706,42.493915613946704,0,0,0,5.349096162585455,0
LINC00707,LINC00707,18.18379207050835,0,0,0,9.073861739643128,0
SFMBT2,SFMBT2,23.83949776270301,21.312317104511614,48.20165325674197,5.778993138165395,23.18107503048023,12.531765457131703
ITIH5,ITIH5,0,0,0,0,0,0
ITIH2,ITIH2,0,0,0,0,0,0
KIN,KIN,8.352587559758392,13.729609614769213,7.431922939563384,5.176644991990261,2.2054355268401475,5.013759386276987
ATP5C1,ATP5C1,177.83019701363673,492.77405034034354,554.7234357330836,195.90535311055893,170.0683512268089,218.19565848487736
