GENE	TF	ENHANCER_LIST
CD300LF	0	10_MACS_peak_13293_lociStitched
CD48	0	1_MACS_peak_2117_lociStitched,4_MACS_peak_2118_lociStitched,2_MACS_peak_2123_lociStitched
CD7	0	1_MACS_peak_13616_lociStitched
CDC16	0	5_MACS_peak_8520_lociStitched,3_MACS_peak_8516_lociStitched
CDC42SE2	0	3_MACS_peak_25165_lociStitched
CDC45	0	1_MACS_peak_19841_lociStitched
CDC6	0	4_MACS_peak_12625_lociStitched
CDCA5	0	3_MACS_peak_5400_lociStitched
CDCA7L	0	1_MACS_peak_27997_lociStitched
CDK13	0	2_MACS_peak_28227_lociStitched
CDK14	0	2_MACS_peak_28686_lociStitched
CDK17	0	2_MACS_peak_7502_lociStitched
CDK2	0	1_MACS_peak_7086_lociStitched
CDK6	0	4_MACS_peak_28712_lociStitched,1_MACS_peak_28716_lociStitched
CDK9	0	1_MACS_peak_31920_lociStitched
CDKN1A	0	5_MACS_peak_26547_lociStitched
CDKN1B	0	2_MACS_peak_6589_lociStitched
CDV3	0	2_MACS_peak_21975_lociStitched
CEACAM21	0	2_MACS_peak_15263_lociStitched,4_MACS_peak_15257_lociStitched
CELA1	0	2_MACS_peak_7010_lociStitched
CELF2	0	4_MACS_peak_3365_lociStitched,2_MACS_peak_3372_lociStitched
CELF4	0	2_MACS_peak_13954_lociStitched
CEP350	0	1_MACS_peak_2379_lociStitched
CEP68	0	1_MACS_peak_16425_lociStitched
CETP	0	5_MACS_peak_11357_lociStitched,1_MACS_peak_11362_lociStitched
CFLAR	0	4_MACS_peak_17803_lociStitched
CHAC1	0	4_MACS_peak_9575_lociStitched
CHCHD4	0	2_MACS_peak_20764_lociStitched
CHCHD6	0	2_MACS_peak_21858_lociStitched
CHD2	1	2_MACS_peak_10435_lociStitched
CHD6	0	2_MACS_peak_18946_lociStitched
CHEK2	0	2_MACS_peak_20066_lociStitched
CHERP	0	2_MACS_peak_14887_lociStitched
CHMP4B	0	2_MACS_peak_18786_lociStitched,1_MACS_peak_18778_lociStitched,2_MACS_peak_18780_lociStitched,1_MACS_peak_18777_lociStitched
CHMP5	0	1_MACS_peak_31055_lociStitched
CHMP6	0	1_MACS_peak_13550_lociStitched,1_MACS_peak_13548_lociStitched
CHPT1	0	2_MACS_peak_7529_lociStitched
CHRNA9	0	6_MACS_peak_23082_lociStitched
CHRNB2	0	1_MACS_peak_1922_lociStitched
CHRNE	0	1_MACS_peak_11974_lociStitched
CHST11	0	2_MACS_peak_7566_lociStitched
CHST12	0	1_MACS_peak_27814_lociStitched
CHST15	0	3_MACS_peak_4561_lociStitched,2_MACS_peak_4567_lociStitched,1_MACS_peak_4569_lociStitched,2_MACS_peak_4564_lociStitched
CHSY1	0	2_MACS_peak_10504_lociStitched,1_MACS_peak_10498_lociStitched
CIB3	0	5_MACS_peak_14843_lociStitched,4_MACS_peak_14851_lociStitched
CIRBP	0	1_MACS_peak_14371_lociStitched
CISD2	0	2_MACS_peak_23529_lociStitched
CISD3	0	2_MACS_peak_12549_lociStitched
CITED2	0	1_MACS_peak_27556_lociStitched
CKLF	0	2_MACS_peak_11430_lociStitched,2_MACS_peak_11428_lociStitched
CKS1B	0	2_MACS_peak_1933_lociStitched,2_MACS_peak_1935_lociStitched,2_MACS_peak_1943_lociStitched
CLCN2	0	1_MACS_peak_22479_lociStitched
CLCN4	0	2_MACS_peak_32288_lociStitched
CLDN10	0	3_MACS_peak_8348_lociStitched
CLDN14	0	1_MACS_peak_19605_lociStitched
CLDN7	0	2_MACS_peak_12038_lociStitched
CLEC16A	0	2_MACS_peak_10791_lociStitched
CLIC1	0	5_MACS_peak_26406_lociStitched
CLIC4	0	1_MACS_peak_451_lociStitched
CLLU1	0	2_MACS_peak_7413_lociStitched
CLN6	0	5_MACS_peak_9974_lociStitched
CLPTM1L	0	2_MACS_peak_24188_lociStitched,3_MACS_peak_24192_lociStitched
CLTC	0	1_MACS_peak_13063_lociStitched
CMTM1	0	2_MACS_peak_11430_lociStitched,2_MACS_peak_11428_lociStitched
CNBP	0	2_MACS_peak_21897_lociStitched
CNN2	0	1_MACS_peak_14354_lociStitched,2_MACS_peak_14352_lociStitched
CNOT6L	0	2_MACS_peak_23346_lociStitched
CNTF	0	3_MACS_peak_5237_lociStitched
CNTNAP1	0	3_MACS_peak_12700_lociStitched
COASY	0	2_MACS_peak_12691_lociStitched
COG4	0	1_MACS_peak_11572_lociStitched
COG7	0	2_MACS_peak_11030_lociStitched
COL8A1	0	3_MACS_peak_21568_lociStitched
COPE	0	4_MACS_peak_14971_lociStitched
COPS7B	0	4_MACS_peak_18169_lociStitched
COQ2	0	5_MACS_peak_23389_lociStitched
CORO1C	0	2_MACS_peak_7646_lociStitched
CPEB2	0	1_MACS_peak_22919_lociStitched
CPLX3	0	4_MACS_peak_10094_lociStitched
CPN2	0	1_MACS_peak_22601_lociStitched
CPNE5	0	5_MACS_peak_26547_lociStitched
CRB2	0	1_MACS_peak_31844_lociStitched
CREB3L2	1	1_MACS_peak_29288_lociStitched
CROCC	0	2_MACS_peak_328_lociStitched
CROCCP2	0	1_MACS_peak_322_lociStitched
CRYAA	0	1_MACS_peak_19699_lociStitched
CRYBA4	0	2_MACS_peak_20038_lociStitched,2_MACS_peak_20043_lociStitched
CRYBB1	0	2_MACS_peak_20038_lociStitched,2_MACS_peak_20043_lociStitched
CSAD	0	1_MACS_peak_7032_lociStitched
CSF2	0	2_MACS_peak_25178_lociStitched
CSK	0	4_MACS_peak_10094_lociStitched
CSNK1E	0	3_MACS_peak_20308_lociStitched
CSTB	0	3_MACS_peak_19726_lociStitched
CTBP1	0	3_MACS_peak_22702_lociStitched,2_MACS_peak_22705_lociStitched
CTCF	1	4_MACS_peak_11473_lociStitched,2_MACS_peak_11470_lociStitched
CTCFL	1	1_MACS_peak_19264_lociStitched,1_MACS_peak_19265_lociStitched
CTDSP2	0	2_MACS_peak_7170_lociStitched,1_MACS_peak_7166_lociStitched
CTSE	0	2_MACS_peak_2717_lociStitched
CUEDC2	0	1_MACS_peak_4331_lociStitched
CUL1	0	1_MACS_peak_29401_lociStitched
