GENE	TF	ENHANCER_LIST
CBY1	0	4_MACS_peak_13646_lociStitched
CCDC102B	0	7_MACS_peak_9559_lociStitched
CCDC106	0	2_MACS_peak_10778_lociStitched,1_MACS_peak_10786_lociStitched
CCDC114	0	4_MACS_peak_10615_lociStitched
CCDC117	0	6_MACS_peak_13484_lociStitched
CCDC125	0	2_MACS_peak_16572_lociStitched
CCDC159	0	2_MACS_peak_9931_lociStitched
CCDC45	0	1_MACS_peak_8950_lociStitched
CCDC58	0	1_MACS_peak_14776_lociStitched
CCDC88C	0	5_MACS_peak_6181_lociStitched,3_MACS_peak_6190_lociStitched
CCDC9	0	2_MACS_peak_10595_lociStitched
CCDC97	0	1_MACS_peak_10434_lociStitched,2_MACS_peak_10432_lociStitched
CCHCR1	0	2_MACS_peak_17863_lociStitched
CCL1	0	9_MACS_peak_8500_lociStitched
CCL13	0	9_MACS_peak_8500_lociStitched
CCND2	0	9_MACS_peak_4205_lociStitched
CCNE2	0	4_MACS_peak_20520_lociStitched
CCNG1	0	1_MACS_peak_17357_lociStitched
CCNL1	0	4_MACS_peak_15029_lociStitched
CCPG1	0	3_MACS_peak_6715_lociStitched
CCR2	0	5_MACS_peak_14223_lociStitched
CCR5	0	5_MACS_peak_14223_lociStitched
CCRL2	0	5_MACS_peak_14223_lociStitched
CD164L2	0	5_MACS_peak_380_lociStitched
CD180	0	3_MACS_peak_16549_lociStitched
CD3EAP	0	1_MACS_peak_10546_lociStitched
CD97	0	2_MACS_peak_10043_lociStitched
CDC16	0	3_MACS_peak_5632_lociStitched
CDC25C	0	1_MACS_peak_17074_lociStitched
CDC34	0	2_MACS_peak_9594_lociStitched
CDC37	0	2_MACS_peak_9897_lociStitched,1_MACS_peak_9896_lociStitched
CDC42EP5	0	1_MACS_peak_10749_lociStitched
CDC6	0	6_MACS_peak_8606_lociStitched
CDCA5	0	1_MACS_peak_3624_lociStitched
CDH18	0	5_MACS_peak_16325_lociStitched
CDHR2	0	2_MACS_peak_17453_lociStitched
CDK10	0	1_MACS_peak_8109_lociStitched
CDK13	0	2_MACS_peak_19069_lociStitched
CDK14	0	2_MACS_peak_19402_lociStitched
CDK4	0	2_MACS_peak_4709_lociStitched
CDK6	0	3_MACS_peak_19435_lociStitched
CDK9	0	4_MACS_peak_21539_lociStitched
CDKL3	0	2_MACS_peak_17038_lociStitched
CDKN1B	0	1_MACS_peak_4315_lociStitched
CDKN2AIPNL	0	2_MACS_peak_17038_lociStitched,1_MACS_peak_17041_lociStitched
CDKN2C	0	2_MACS_peak_689_lociStitched
CDKN2D	0	3_MACS_peak_9902_lociStitched
CDV3	0	3_MACS_peak_14878_lociStitched
CEACAM16	0	3_MACS_peak_10516_lociStitched
CEACAM21	0	3_MACS_peak_10448_lociStitched
CELA2B	0	1_MACS_peak_198_lociStitched
CELF2	0	2_MACS_peak_2295_lociStitched
CELF5	0	4_MACS_peak_9732_lociStitched
CENPM	0	3_MACS_peak_13754_lociStitched
CENPN	0	2_MACS_peak_7975_lociStitched
CEP57	0	1_MACS_peak_3910_lociStitched
CETP	0	3_MACS_peak_7774_lociStitched
CFB	0	2_MACS_peak_17905_lociStitched
CFD	0	1_MACS_peak_9605_lociStitched,2_MACS_peak_9606_lociStitched
CFLAR	0	4_MACS_peak_12157_lociStitched
CFLP1	0	2_MACS_peak_2821_lociStitched
CHAF1A	0	3_MACS_peak_9769_lociStitched
CHD1	0	1_MACS_peak_16813_lociStitched
CHD2	1	4_MACS_peak_7177_lociStitched,2_MACS_peak_7175_lociStitched
CHD3	0	2_MACS_peak_8262_lociStitched
CHDH	0	1_MACS_peak_14409_lociStitched
CHEK2	0	6_MACS_peak_13484_lociStitched
CHERP	0	1_MACS_peak_10106_lociStitched
CHKB	0	6_MACS_peak_13851_lociStitched
CHMP1A	0	1_MACS_peak_8109_lociStitched
CHMP2A	0	2_MACS_peak_10846_lociStitched,2_MACS_peak_10848_lociStitched
CHMP5	0	1_MACS_peak_21003_lociStitched
CHRNE	0	3_MACS_peak_8211_lociStitched
CHST12	0	1_MACS_peak_18780_lociStitched
CHST15	0	11_MACS_peak_3134_lociStitched
CIC	0	4_MACS_peak_10485_lociStitched,2_MACS_peak_10483_lociStitched
CIRBP	0	4_MACS_peak_9639_lociStitched,4_MACS_peak_9635_lociStitched
CISD1	0	2_MACS_peak_2580_lociStitched
CISD2	0	2_MACS_peak_15885_lociStitched,1_MACS_peak_15887_lociStitched
CITED2	0	3_MACS_peak_18591_lociStitched
CKLF	0	3_MACS_peak_7813_lociStitched
CKS1B	0	7_MACS_peak_1304_lociStitched,4_MACS_peak_1311_lociStitched,1_MACS_peak_1317_lociStitched
CKS2	0	5_MACS_peak_21202_lociStitched
CLASRP	0	1_MACS_peak_10525_lociStitched
CLDN3	0	2_MACS_peak_19271_lociStitched
CLDN7	0	3_MACS_peak_8239_lociStitched,1_MACS_peak_8242_lociStitched
CLDND1	0	6_MACS_peak_14568_lociStitched
CLIC1	0	3_MACS_peak_17880_lociStitched
CLK1	0	2_MACS_peak_12147_lociStitched
CLPTM1	0	1_MACS_peak_10525_lociStitched
CLPTM1L	0	2_MACS_peak_16255_lociStitched
CLTC	0	1_MACS_peak_8889_lociStitched
CMBL	0	1_MACS_peak_16296_lociStitched
CMTM1	0	3_MACS_peak_7813_lociStitched
CNBP	0	2_MACS_peak_14830_lociStitched
CNN2	0	5_MACS_peak_9615_lociStitched
CNOT6L	0	2_MACS_peak_15754_lociStitched
CNOT8	0	1_MACS_peak_17273_lociStitched
CNTF	0	1_MACS_peak_3497_lociStitched
COL11A2	0	3_MACS_peak_17927_lociStitched
COL17A1	0	2_MACS_peak_2989_lociStitched
COL6A4P2	0	3_MACS_peak_14848_lociStitched
COL8A2	0	6_MACS_peak_514_lociStitched
COMMD3	0	4_MACS_peak_2386_lociStitched,2_MACS_peak_2390_lociStitched
COPE	0	3_MACS_peak_10185_lociStitched
COPG	0	2_MACS_peak_14835_lociStitched
COQ5	0	4_MACS_peak_5140_lociStitched
CORO7	0	1_MACS_peak_7376_lociStitched
COX6B2	0	2_MACS_peak_10767_lociStitched
CPEB2	0	1_MACS_peak_15476_lociStitched
CPEB4	0	3_MACS_peak_17423_lociStitched
CPLX3	0	7_MACS_peak_6926_lociStitched
CPNE1	0	10_MACS_peak_12729_lociStitched
CPT1B	0	6_MACS_peak_13851_lociStitched
CPT1C	0	4_MACS_peak_10677_lociStitched,2_MACS_peak_10674_lociStitched
CRABP2	0	5_MACS_peak_1402_lociStitched
CRB2	0	1_MACS_peak_21483_lociStitched
CREB3L2	1	3_MACS_peak_19817_lociStitched
CREB3L4	1	4_MACS_peak_1267_lociStitched
CREM	1	1_MACS_peak_2473_lociStitched
CRIP1	0	1_MACS_peak_6326_lociStitched,2_MACS_peak_6327_lociStitched
CRIP2	0	1_MACS_peak_6326_lociStitched,2_MACS_peak_6327_lociStitched
CROCC	0	1_MACS_peak_236_lociStitched,1_MACS_peak_235_lociStitched
CROCCP2	0	1_MACS_peak_232_lociStitched
CRTAM	0	7_MACS_peak_4081_lociStitched
CRTC2	0	4_MACS_peak_1267_lociStitched
CRYGS	0	2_MACS_peak_15243_lociStitched
CSK	0	7_MACS_peak_6926_lociStitched
CSNK1G2	0	1_MACS_peak_9671_lociStitched
CSRNP1	0	2_MACS_peak_14102_lociStitched
CTCFL	1	6_MACS_peak_12966_lociStitched
CTDNEP1	0	3_MACS_peak_8239_lociStitched,1_MACS_peak_8242_lociStitched
CUEDC2	0	2_MACS_peak_2952_lociStitched
CUL2	0	1_MACS_peak_2473_lociStitched
CUX1	1	5_MACS_peak_19548_lociStitched
CX3CR1	0	6_MACS_peak_14112_lociStitched
CXCR4	0	3_MACS_peak_11804_lociStitched
CXXC5	0	9_MACS_peak_17108_lociStitched,2_MACS_peak_17103_lociStitched
CYB561D2	0	3_MACS_peak_14325_lociStitched
CYB5D1	0	2_MACS_peak_8262_lociStitched
CYGB	0	8_MACS_peak_9092_lociStitched
CYP1A2	0	7_MACS_peak_6926_lociStitched
CYP21A2	0	2_MACS_peak_17905_lociStitched
CYP27B1	0	2_MACS_peak_4709_lociStitched
CYTH1	0	9_MACS_peak_9165_lociStitched
CYTIP	0	1_MACS_peak_11874_lociStitched
DALRD3	0	2_MACS_peak_14283_lociStitched
DAND5	0	3_MACS_peak_9987_lociStitched
DAPK2	0	3_MACS_peak_6776_lociStitched
DAPK3	0	3_MACS_peak_9750_lociStitched
DAXX	0	3_MACS_peak_17935_lociStitched
DAZAP1	0	4_MACS_peak_9645_lociStitched
DBN1	0	2_MACS_peak_17472_lociStitched
DBP	1	1_MACS_peak_10630_lociStitched
DCAF11	0	4_MACS_peak_5713_lociStitched
DCAF6	0	1_MACS_peak_1563_lociStitched
DCAF8	0	1_MACS_peak_1441_lociStitched
DCST1	0	1_MACS_peak_1317_lociStitched
DCST2	0	1_MACS_peak_1317_lociStitched
DCTN2	0	1_MACS_peak_4703_lociStitched
DDAH2	0	3_MACS_peak_17880_lociStitched
DDIT3	1	1_MACS_peak_4703_lociStitched
DDIT4	0	7_MACS_peak_2702_lociStitched,6_MACS_peak_2696_lociStitched,2_MACS_peak_2709_lociStitched,2_MACS_peak_2712_lociStitched
DDX17	0	2_MACS_peak_13640_lociStitched
DDX39	0	2_MACS_peak_10043_lociStitched
DDX3X	0	2_MACS_peak_21917_lociStitched
DDX49	0	3_MACS_peak_10185_lociStitched
DDX5	0	1_MACS_peak_8950_lociStitched
DDX6	0	1_MACS_peak_4034_lociStitched
DEDD	0	1_MACS_peak_1481_lociStitched
DEDD2	0	2_MACS_peak_10483_lociStitched,2_MACS_peak_10479_lociStitched
DENND1B	0	3_MACS_peak_1770_lociStitched
DENND4A	0	1_MACS_peak_6821_lociStitched
DENND4B	0	4_MACS_peak_1267_lociStitched
DERL1	0	4_MACS_peak_20654_lociStitched
DERL3	0	4_MACS_peak_13433_lociStitched
DFNB31	0	2_MACS_peak_21412_lociStitched,2_MACS_peak_21408_lociStitched
DHRS13	0	4_MACS_peak_8438_lociStitched
DHTKD1	0	1_MACS_peak_2307_lociStitched
DIRAS1	0	2_MACS_peak_9720_lociStitched
DKFZP686I15217	0	1_MACS_peak_17559_lociStitched
DLG4	0	3_MACS_peak_8239_lociStitched,1_MACS_peak_8242_lociStitched
DMTF1	0	1_MACS_peak_19389_lociStitched
DNAJA3	0	1_MACS_peak_7376_lociStitched
DNAJB1	0	1_MACS_peak_10050_lociStitched
DNAJB11	0	2_MACS_peak_15243_lociStitched
DNAJB12	0	2_MACS_peak_2712_lociStitched,3_MACS_peak_2714_lociStitched
DNAJB9	0	2_MACS_peak_19643_lociStitched,1_MACS_peak_19642_lociStitched
DNAJC16	0	1_MACS_peak_198_lociStitched
DNAJC18	0	3_MACS_peak_17088_lociStitched
DNAJC27	0	1_MACS_peak_10961_lociStitched
DNAJC28	0	1_MACS_peak_13161_lociStitched
DNAJC4	0	3_MACS_peak_3599_lociStitched
DOM3Z	0	2_MACS_peak_17905_lociStitched
DONSON	0	1_MACS_peak_13161_lociStitched
