Symbol,Type,Cell
NUDT9,down,MM1S
NUF2,down,MM1S
NUP107,down,MM1S
NUP155,down,MM1S
NUP188,down,MM1S
NUP205,down,MM1S
NUP58,down,MM1S
NUP85,down,MM1S
NUSAP1,down,MM1S
NXT2,down,MM1S
ODC1,down,MM1S
OIP5,down,MM1S
ORC1,down,MM1S
ORC6,down,MM1S
OSGEP,down,MM1S
OTUD6B,down,MM1S
OXR1,down,MM1S
PA2G4,down,MM1S
PA2G4P4,down,MM1S
PAICS,down,MM1S
PAK1IP1,down,MM1S
PAQR4,down,MM1S
PARP2,down,MM1S
PARPBP,down,MM1S
PBK,down,MM1S
PCM1,down,MM1S
PCNA,down,MM1S
PDK1,down,MM1S
PDLIM3,down,MM1S
PDS5B,down,MM1S
PDSS1,down,MM1S
PGRMC1,down,MM1S
PHF10,down,MM1S
PHGDH,down,MM1S
PHTF1,down,MM1S
PI4K2B,down,MM1S
PIK3R3,down,MM1S
PINX1,down,MM1S
PKM,down,MM1S
PKMYT1,down,MM1S
PKP2,down,MM1S
PKP4,down,MM1S
PLA2G4A,down,MM1S
PLK4,down,MM1S
PLOD2,down,MM1S
PM20D2,down,MM1S
PMAIP1,down,MM1S
PMS1,down,MM1S
PNN,down,MM1S
PNP,down,MM1S
POLA1,down,MM1S
POLA2,down,MM1S
POLD3,down,MM1S
POLE,down,MM1S
POLQ,down,MM1S
POLR3F,down,MM1S
PPAT,down,MM1S
PPIG,down,MM1S
PPIL1,down,MM1S
PPP2R1B,down,MM1S
PRIM1,down,MM1S
PRIM2,down,MM1S
PRKDC,down,MM1S
PRPS2,down,MM1S
PRRG4,down,MM1S
PSAT1,down,MM1S
PSMC3IP,down,MM1S
PSMC6,down,MM1S
PSMD1,down,MM1S
PSMD11,down,MM1S
PSMD12,down,MM1S
PSMD14,down,MM1S
PSMG1,down,MM1S
PTGES3,down,MM1S
PTMA,down,MM1S
PTPRG,down,MM1S
PUS7L,down,MM1S
PXMP2,down,MM1S
QSER1,down,MM1S
RAB27A,down,MM1S
RAB3IP,down,MM1S
RACGAP1,down,MM1S
RAD1,down,MM1S
RAD18,down,MM1S
RAD51,down,MM1S
RAD51AP1,down,MM1S
RAD51C,down,MM1S
RAD51D,down,MM1S
RAD54L,down,MM1S
RAI14,down,MM1S
RANBP1,down,MM1S
RAVER2,down,MM1S
RB1,down,MM1S
RBBP7,down,MM1S
RBBP8,down,MM1S
RBL1,down,MM1S
RBM28,down,MM1S
RBM47,down,MM1S
RDH11,down,MM1S
RDX,down,MM1S
RFC2,down,MM1S
RFC4,down,MM1S
RFC5,down,MM1S
RFWD3,down,MM1S
RHPN2,down,MM1S
RIF1,down,MM1S
RMI1,down,MM1S
RNASEH2A,down,MM1S
RNASEH2B,down,MM1S
RNF138,down,MM1S
RPA3,down,MM1S
RPF2,down,MM1S
RRM1,down,MM1S
RRM2,down,MM1S
S100A10,down,MM1S
SAE1,down,MM1S
SAMD9L,down,MM1S
SAP30,down,MM1S
SCD,down,MM1S
SEH1L,down,MM1S
SEL1L,down,MM1S
SELT,down,MM1S
SEPT7P2,down,MM1S
10-Sep,down,MM1S
11-Sep,down,MM1S
SERBP1,down,MM1S
SETSIP,down,MM1S
SF3B2,down,MM1S
SGOL2,down,MM1S
SHCBP1,down,MM1S
SHMT1,down,MM1S
SKA1,down,MM1S
SKA2,down,MM1S
SKA3,down,MM1S
SKP2,down,MM1S
SLAIN1,down,MM1S
SLAMF7,down,MM1S
SLBP,down,MM1S
SLC19A1,down,MM1S
SLC1A5,down,MM1S
SLC20A1,down,MM1S
SLC25A17,down,MM1S
SLC25A19,down,MM1S
SLC25A32,down,MM1S
SLC25A4,down,MM1S
SLC25A40,down,MM1S
SLC27A2,down,MM1S
SLC31A1,down,MM1S
SLC38A5,down,MM1S
SLC39A8,down,MM1S
SLCO4A1,down,MM1S
SLFN13,down,MM1S
SMC1A,down,MM1S
SMC2,down,MM1S
SMC4,down,MM1S
SMC5,down,MM1S
SMC6,down,MM1S
SMIM13,down,MM1S
SMS,down,MM1S
SNORA41,down,MM1S
SNORA8,down,MM1S
SNORD14C,down,MM1S
SNORD17,down,MM1S
SNORD35A,down,MM1S
SNORD57,down,MM1S
SNORD59B,down,MM1S
SNORD69,down,MM1S
SNORD78,down,MM1S
SNORD80,down,MM1S
SNRPD1,down,MM1S
SNX25,down,MM1S
SOAT1,down,MM1S
SOWAHC,down,MM1S
SPAG5,down,MM1S
